DEBUG: part no. 440, x 0, y 10
DEBUG: part no. 382, x 6, y 122
DEBUG: part no. 352, x 7, y 21
DEBUG: part no. 282, x 7, y 56
DEBUG: part no. 716, x 7, y 85
DEBUG: part no. 904, x 7, y 94
DEBUG: part no. 588, x 7, y 98
DEBUG: part no. 807, x 7, y 105
DEBUG: part no. 590, x 8, y 3
DEBUG: part no. 225, x 8, y 13
DEBUG: part no. 610, x 8, y 27
DEBUG: part no. 434, x 8, y 46
DEBUG: part no. 805, x 8, y 75
DEBUG: part no. 878, x 8, y 79
DEBUG: part no. 539, x 8, y 112
DEBUG: part no. 412, x 8, y 117
DEBUG: part no. 452, x 8, y 126
DEBUG: part no. 993, x 8, y 135
DEBUG: part no. 407, x 9, y 7
DEBUG: part no. 489, x 9, y 53
DEBUG: part no. 390, x 9, y 89
DEBUG: part no. 621, x 9, y 96
DEBUG: part no. 708, x 9, y 100
DEBUG: part no. 542, x 10, y 12
DEBUG: part no. 880, x 10, y 19
DEBUG: part no. 877, x 10, y 43
DEBUG: part no. 264, x 10, y 64
DEBUG: part no. 3, x 10, y 69
DEBUG: part no. 750, x 10, y 80
DEBUG: part no. 570, x 10, y 122
DEBUG: part no. 290, x 11, y 7
DEBUG: part no. 540, x 11, y 23
DEBUG: part no. 167, x 11, y 30
DEBUG: part no. 873, x 11, y 34
DEBUG: part no. 970, x 11, y 38
DEBUG: part no. 669, x 11, y 57
DEBUG: part no. 169, x 11, y 87
DEBUG: part no. 718, x 11, y 101
DEBUG: part no. 240, x 11, y 112
DEBUG: part no. 764, x 11, y 130
DEBUG: part no. 400, x 11, y 134
DEBUG: part no. 639, x 12, y 16
DEBUG: part no. 103, x 12, y 42
DEBUG: part no. 731, x 12, y 93
DEBUG: part no. 413, x 12, y 105
DEBUG: part no. 974, x 12, y 119
DEBUG: part no. 174, x 13, y 8
DEBUG: part no. 331, x 13, y 23
DEBUG: part no. 465, x 13, y 47
DEBUG: part no. 428, x 13, y 63
DEBUG: part no. 118, x 13, y 70
DEBUG: part no. 714, x 13, y 101
DEBUG: part no. 209, x 13, y 111
DEBUG: part no. 418, x 13, y 115
DEBUG: part no. 513, x 13, y 138
DEBUG: part no. 869, x 14, y 13
DEBUG: part no. 120, x 14, y 29
DEBUG: part no. 101, x 14, y 37
DEBUG: part no. 379, x 14, y 56
DEBUG: part no. 488, x 14, y 81
DEBUG: part no. 579, x 14, y 85
DEBUG: part no. 344, x 14, y 91
DEBUG: part no. 94, x 14, y 123
DEBUG: part no. 802, x 14, y 127
DEBUG: part no. 105, x 14, y 131
DEBUG: part no. 834, x 15, y 5
DEBUG: part no. 254, x 15, y 21
DEBUG: part no. 657, x 15, y 45
DEBUG: part no. 198, x 15, y 61
DEBUG: part no. 160, x 15, y 66
DEBUG: part no. 258, x 15, y 73
DEBUG: part no. 449, x 15, y 98
DEBUG: part no. 972, x 15, y 109
DEBUG: part no. 553, x 15, y 114
DEBUG: part no. 234, x 15, y 135
DEBUG: part no. 273, x 16, y 52
DEBUG: part no. 545, x 16, y 126
DEBUG: part no. 365, x 16, y 130
DEBUG: part no. 773, x 17, y 3
DEBUG: part no. 296, x 17, y 12
DEBUG: part no. 85, x 17, y 23
DEBUG: part no. 256, x 17, y 29
DEBUG: part no. 977, x 17, y 39
DEBUG: part no. 203, x 17, y 60
DEBUG: part no. 216, x 17, y 66
DEBUG: part no. 394, x 17, y 74
DEBUG: part no. 872, x 17, y 83
DEBUG: part no. 240, x 17, y 87
DEBUG: part no. 406, x 17, y 97
DEBUG: part no. 254, x 17, y 109
DEBUG: part no. 830, x 18, y 56
DEBUG: part no. 615, x 18, y 132
DEBUG: part no. 608, x 18, y 136
DEBUG: part no. 739, x 19, y 5
DEBUG: part no. 15, x 19, y 9
DEBUG: part no. 903, x 19, y 13
DEBUG: part no. 93, x 19, y 19
DEBUG: part no. 714, x 19, y 31
DEBUG: part no. 442, x 19, y 36
DEBUG: part no. 769, x 19, y 43
DEBUG: part no. 838, x 19, y 51
DEBUG: part no. 829, x 19, y 61
DEBUG: part no. 741, x 19, y 69
DEBUG: part no. 469, x 19, y 78
DEBUG: part no. 60, x 19, y 87
DEBUG: part no. 181, x 19, y 101
DEBUG: part no. 376, x 19, y 106
DEBUG: part no. 63, x 19, y 115
DEBUG: part no. 172, x 19, y 127
DEBUG: part no. 306, x 20, y 26
DEBUG: part no. 900, x 20, y 57
DEBUG: part no. 309, x 20, y 65
DEBUG: part no. 428, x 20, y 92
DEBUG: part no. 333, x 20, y 97
DEBUG: part no. 921, x 20, y 110
DEBUG: part no. 673, x 20, y 120
DEBUG: part no. 499, x 20, y 135
DEBUG: part no. 599, x 21, y 11
DEBUG: part no. 221, x 21, y 34
DEBUG: part no. 137, x 21, y 41
DEBUG: part no. 432, x 21, y 46
DEBUG: part no. 930, x 21, y 53
DEBUG: part no. 216, x 21, y 69
DEBUG: part no. 381, x 21, y 85
DEBUG: part no. 767, x 21, y 102
DEBUG: part no. 993, x 22, y 3
DEBUG: part no. 243, x 22, y 27
DEBUG: part no. 150, x 22, y 58
DEBUG: part no. 456, x 22, y 64
DEBUG: part no. 677, x 22, y 80
DEBUG: part no. 400, x 22, y 89
DEBUG: part no. 338, x 22, y 94
DEBUG: part no. 766, x 22, y 126
DEBUG: part no. 468, x 22, y 130
DEBUG: part no. 509, x 23, y 47
DEBUG: part no. 815, x 23, y 70
DEBUG: part no. 308, x 23, y 118
DEBUG: part no. 575, x 23, y 137
DEBUG: part no. 908, x 24, y 21
DEBUG: part no. 112, x 24, y 25
DEBUG: part no. 767, x 24, y 36
DEBUG: part no. 215, x 24, y 43
DEBUG: part no. 400, x 24, y 56
DEBUG: part no. 220, x 24, y 61
DEBUG: part no. 962, x 24, y 85
DEBUG: part no. 825, x 24, y 89
DEBUG: part no. 46, x 24, y 97
DEBUG: part no. 30, x 24, y 105
DEBUG: part no. 21, x 24, y 112
DEBUG: part no. 875, x 24, y 124
DEBUG: part no. 453, x 24, y 133
DEBUG: part no. 845, x 25, y 6
DEBUG: part no. 840, x 25, y 17
DEBUG: part no. 423, x 25, y 52
DEBUG: part no. 929, x 25, y 65
DEBUG: part no. 76, x 25, y 69
DEBUG: part no. 682, x 25, y 78
DEBUG: part no. 196, x 25, y 119
DEBUG: part no. 867, x 26, y 2
DEBUG: part no. 671, x 26, y 27
DEBUG: part no. 429, x 26, y 34
DEBUG: part no. 278, x 26, y 39
DEBUG: part no. 46, x 26, y 47
DEBUG: part no. 194, x 26, y 61
DEBUG: part no. 611, x 26, y 84
DEBUG: part no. 401, x 26, y 100
DEBUG: part no. 788, x 26, y 108
DEBUG: part no. 201, x 26, y 123
DEBUG: part no. 38, x 26, y 135
DEBUG: part no. 21, x 27, y 5
DEBUG: part no. 599, x 27, y 11
DEBUG: part no. 863, x 27, y 54
DEBUG: part no. 946, x 27, y 75
DEBUG: part no. 23, x 27, y 80
DEBUG: part no. 547, x 27, y 96
DEBUG: part no. 244, x 27, y 112
DEBUG: part no. 963, x 27, y 132
DEBUG: part no. 65, x 28, y 22
DEBUG: part no. 659, x 28, y 38
DEBUG: part no. 612, x 28, y 47
DEBUG: part no. 497, x 28, y 60
DEBUG: part no. 705, x 28, y 71
DEBUG: part no. 121, x 28, y 92
DEBUG: part no. 29, x 28, y 119
DEBUG: part no. 80, x 28, y 125
DEBUG: part no. 670, x 29, y 9
DEBUG: part no. 391, x 29, y 16
DEBUG: part no. 405, x 29, y 34
DEBUG: part no. 721, x 29, y 82
DEBUG: part no. 321, x 29, y 97
DEBUG: part no. 585, x 29, y 111
DEBUG: part no. 464, x 29, y 115
DEBUG: part no. 598, x 29, y 133
DEBUG: part no. 892, x 30, y 22
DEBUG: part no. 472, x 30, y 27
DEBUG: part no. 526, x 30, y 39
DEBUG: part no. 615, x 30, y 46
DEBUG: part no. 51, x 30, y 55
DEBUG: part no. 790, x 30, y 64
DEBUG: part no. 633, x 30, y 78
DEBUG: part no. 847, x 30, y 89
DEBUG: part no. 310, x 30, y 103
DEBUG: part no. 60, x 30, y 107
DEBUG: part no. 517, x 30, y 123
DEBUG: part no. 415, x 30, y 127
DEBUG: part no. 732, x 31, y 7
DEBUG: part no. 473, x 31, y 17
DEBUG: part no. 825, x 31, y 33
DEBUG: part no. 67, x 31, y 52
DEBUG: part no. 488, x 31, y 69
DEBUG: part no. 298, x 31, y 93
DEBUG: part no. 240, x 31, y 97
DEBUG: part no. 548, x 31, y 114
DEBUG: part no. 222, x 32, y 13
DEBUG: part no. 377, x 32, y 21
DEBUG: part no. 710, x 32, y 49
DEBUG: part no. 512, x 32, y 58
DEBUG: part no. 839, x 32, y 64
DEBUG: part no. 340, x 32, y 75
DEBUG: part no. 829, x 32, y 84
DEBUG: part no. 836, x 32, y 88
DEBUG: part no. 619, x 32, y 105
DEBUG: part no. 776, x 32, y 109
DEBUG: part no. 695, x 32, y 121
DEBUG: part no. 358, x 32, y 125
DEBUG: part no. 417, x 32, y 134
DEBUG: part no. 51, x 33, y 8
DEBUG: part no. 632, x 33, y 27
DEBUG: part no. 85, x 33, y 54
DEBUG: part no. 125, x 33, y 79
DEBUG: part no. 360, x 33, y 99
DEBUG: part no. 109, x 33, y 114
DEBUG: part no. 880, x 34, y 13
DEBUG: part no. 836, x 34, y 20
DEBUG: part no. 979, x 34, y 31
DEBUG: part no. 496, x 34, y 45
DEBUG: part no. 247, x 34, y 49
DEBUG: part no. 885, x 34, y 59
DEBUG: part no. 754, x 34, y 68
DEBUG: part no. 658, x 34, y 73
DEBUG: part no. 622, x 34, y 84
DEBUG: part no. 840, x 34, y 94
DEBUG: part no. 118, x 34, y 108
DEBUG: part no. 120, x 34, y 119
DEBUG: part no. 779, x 34, y 128
DEBUG: part no. 92, x 34, y 132
DEBUG: part no. 746, x 34, y 137
DEBUG: part no. 651, x 35, y 2
DEBUG: part no. 617, x 35, y 9
DEBUG: part no. 291, x 35, y 41
DEBUG: part no. 883, x 35, y 53
DEBUG: part no. 529, x 35, y 79
DEBUG: part no. 531, x 35, y 99
DEBUG: part no. 857, x 35, y 115
DEBUG: part no. 699, x 36, y 19
DEBUG: part no. 639, x 36, y 27
DEBUG: part no. 583, x 36, y 31
DEBUG: part no. 181, x 36, y 35
DEBUG: part no. 457, x 36, y 46
DEBUG: part no. 699, x 36, y 57
DEBUG: part no. 829, x 36, y 61
DEBUG: part no. 308, x 36, y 70
DEBUG: part no. 704, x 36, y 83
DEBUG: part no. 299, x 36, y 90
DEBUG: part no. 332, x 36, y 105
DEBUG: part no. 622, x 36, y 109
DEBUG: part no. 467, x 36, y 122
DEBUG: part no. 684, x 36, y 135
DEBUG: part no. 258, x 37, y 8
DEBUG: part no. 25, x 37, y 41
DEBUG: part no. 441, x 37, y 53
DEBUG: part no. 212, x 37, y 75
DEBUG: part no. 820, x 37, y 99
DEBUG: part no. 440, x 37, y 117
DEBUG: part no. 352, x 37, y 126
DEBUG: part no. 34, x 38, y 4
DEBUG: part no. 186, x 38, y 16
DEBUG: part no. 255, x 38, y 35
DEBUG: part no. 526, x 38, y 45
DEBUG: part no. 618, x 38, y 49
DEBUG: part no. 775, x 38, y 62
DEBUG: part no. 702, x 38, y 66
DEBUG: part no. 940, x 38, y 80
DEBUG: part no. 822, x 38, y 93
DEBUG: part no. 515, x 38, y 121
DEBUG: part no. 947, x 38, y 130
DEBUG: part no. 195, x 39, y 20
DEBUG: part no. 693, x 39, y 28
DEBUG: part no. 826, x 39, y 55
DEBUG: part no. 331, x 39, y 76
DEBUG: part no. 49, x 39, y 89
DEBUG: part no. 677, x 39, y 97
DEBUG: part no. 920, x 39, y 114
DEBUG: part no. 781, x 39, y 126
DEBUG: part no. 657, x 40, y 6
DEBUG: part no. 52, x 40, y 12
DEBUG: part no. 766, x 40, y 39
DEBUG: part no. 289, x 40, y 61
DEBUG: part no. 589, x 40, y 69
DEBUG: part no. 34, x 40, y 79
DEBUG: part no. 421, x 40, y 135
DEBUG: part no. 9, x 41, y 20
DEBUG: part no. 831, x 41, y 28
DEBUG: part no. 952, x 41, y 46
DEBUG: part no. 469, x 41, y 53
DEBUG: part no. 886, x 41, y 57
DEBUG: part no. 283, x 41, y 74
DEBUG: part no. 525, x 41, y 85
DEBUG: part no. 986, x 41, y 93
DEBUG: part no. 516, x 41, y 98
DEBUG: part no. 184, x 41, y 115
DEBUG: part no. 949, x 41, y 120
DEBUG: part no. 670, x 41, y 129
DEBUG: part no. 568, x 42, y 3
DEBUG: part no. 283, x 42, y 14
DEBUG: part no. 431, x 42, y 24
DEBUG: part no. 420, x 42, y 38
DEBUG: part no. 259, x 42, y 42
DEBUG: part no. 807, x 42, y 64
DEBUG: part no. 568, x 42, y 69
DEBUG: part no. 634, x 42, y 89
DEBUG: part no. 915, x 42, y 104
DEBUG: part no. 938, x 42, y 110
DEBUG: part no. 77, x 43, y 32
DEBUG: part no. 874, x 43, y 47
DEBUG: part no. 558, x 43, y 53
DEBUG: part no. 596, x 43, y 75
DEBUG: part no. 902, x 43, y 80
DEBUG: part no. 368, x 43, y 97
DEBUG: part no. 958, x 43, y 132
DEBUG: part no. 702, x 43, y 137
DEBUG: part no. 455, x 44, y 2
DEBUG: part no. 389, x 44, y 25
DEBUG: part no. 409, x 44, y 63
DEBUG: part no. 909, x 44, y 86
DEBUG: part no. 978, x 44, y 108
DEBUG: part no. 341, x 44, y 112
DEBUG: part no. 188, x 44, y 118
DEBUG: part no. 74, x 44, y 123
DEBUG: part no. 26, x 44, y 127
DEBUG: part no. 17, x 45, y 11
DEBUG: part no. 360, x 45, y 18
DEBUG: part no. 617, x 45, y 41
DEBUG: part no. 153, x 45, y 59
DEBUG: part no. 887, x 45, y 71
DEBUG: part no. 122, x 45, y 75
DEBUG: part no. 184, x 45, y 93
DEBUG: part no. 258, x 45, y 104
DEBUG: part no. 755, x 45, y 131
DEBUG: part no. 348, x 45, y 137
DEBUG: part no. 612, x 46, y 8
DEBUG: part no. 425, x 46, y 27
DEBUG: part no. 968, x 46, y 31
DEBUG: part no. 496, x 46, y 37
DEBUG: part no. 918, x 46, y 54
DEBUG: part no. 313, x 46, y 64
DEBUG: part no. 535, x 46, y 80
DEBUG: part no. 764, x 46, y 85
DEBUG: part no. 19, x 46, y 100
DEBUG: part no. 173, x 46, y 116
DEBUG: part no. 440, x 47, y 17
DEBUG: part no. 384, x 47, y 22
DEBUG: part no. 474, x 47, y 44
DEBUG: part no. 940, x 47, y 50
DEBUG: part no. 586, x 47, y 58
DEBUG: part no. 466, x 47, y 69
DEBUG: part no. 797, x 47, y 109
DEBUG: part no. 406, x 47, y 121
DEBUG: part no. 816, x 48, y 6
DEBUG: part no. 760, x 48, y 38
DEBUG: part no. 156, x 48, y 73
DEBUG: part no. 676, x 48, y 91
DEBUG: part no. 451, x 48, y 97
DEBUG: part no. 462, x 48, y 102
DEBUG: part no. 774, x 48, y 113
DEBUG: part no. 346, x 48, y 125
DEBUG: part no. 558, x 48, y 133
DEBUG: part no. 258, x 49, y 14
DEBUG: part no. 888, x 49, y 19
DEBUG: part no. 165, x 49, y 26
DEBUG: part no. 166, x 49, y 34
DEBUG: part no. 27, x 49, y 43
DEBUG: part no. 766, x 49, y 52
DEBUG: part no. 83, x 49, y 65
DEBUG: part no. 302, x 49, y 85
DEBUG: part no. 655, x 50, y 4
DEBUG: part no. 548, x 50, y 30
DEBUG: part no. 109, x 50, y 56
DEBUG: part no. 61, x 50, y 101
DEBUG: part no. 252, x 50, y 106
DEBUG: part no. 849, x 50, y 111
DEBUG: part no. 299, x 50, y 121
DEBUG: part no. 880, x 50, y 129
DEBUG: part no. 550, x 51, y 12
DEBUG: part no. 495, x 51, y 17
DEBUG: part no. 62, x 51, y 20
DEBUG: part no. 691, x 51, y 49
DEBUG: part no. 648, x 51, y 60
DEBUG: part no. 837, x 51, y 70
DEBUG: part no. 736, x 51, y 78
DEBUG: part no. 722, x 51, y 82
DEBUG: part no. 12, x 51, y 89
DEBUG: part no. 283, x 51, y 125
DEBUG: part no. 35, x 51, y 133
DEBUG: part no. 475, x 52, y 8
DEBUG: part no. 358, x 52, y 24
DEBUG: part no. 605, x 52, y 40
DEBUG: part no. 963, x 52, y 53
DEBUG: part no. 514, x 52, y 86
DEBUG: part no. 673, x 52, y 93
DEBUG: part no. 840, x 52, y 98
DEBUG: part no. 787, x 52, y 109
DEBUG: part no. 420, x 52, y 116
DEBUG: part no. 431, x 53, y 4
DEBUG: part no. 62, x 53, y 15
DEBUG: part no. 964, x 53, y 19
DEBUG: part no. 814, x 53, y 29
DEBUG: part no. 832, x 53, y 34
DEBUG: part no. 844, x 53, y 82
DEBUG: part no. 293, x 53, y 102
DEBUG: part no. 297, x 53, y 128
DEBUG: part no. 730, x 54, y 11
DEBUG: part no. 145, x 54, y 49
DEBUG: part no. 45, x 54, y 67
DEBUG: part no. 365, x 54, y 91
DEBUG: part no. 276, x 54, y 98
DEBUG: part no. 125, x 54, y 119
DEBUG: part no. 178, x 54, y 136
DEBUG: part no. 924, x 55, y 6
DEBUG: part no. 814, x 55, y 18
DEBUG: part no. 143, x 55, y 27
DEBUG: part no. 295, x 55, y 44
DEBUG: part no. 811, x 55, y 53
DEBUG: part no. 253, x 55, y 58
DEBUG: part no. 910, x 55, y 71
DEBUG: part no. 605, x 55, y 79
DEBUG: part no. 595, x 55, y 84
DEBUG: part no. 34, x 55, y 102
DEBUG: part no. 957, x 55, y 107
DEBUG: part no. 413, x 55, y 128
DEBUG: part no. 220, x 56, y 12
DEBUG: part no. 769, x 56, y 38
DEBUG: part no. 738, x 56, y 63
DEBUG: part no. 461, x 56, y 88
DEBUG: part no. 177, x 56, y 92
DEBUG: part no. 848, x 56, y 114
DEBUG: part no. 63, x 56, y 119
DEBUG: part no. 407, x 56, y 124
DEBUG: part no. 354, x 56, y 135
DEBUG: part no. 657, x 57, y 22
DEBUG: part no. 985, x 57, y 26
DEBUG: part no. 426, x 57, y 32
DEBUG: part no. 903, x 57, y 80
DEBUG: part no. 703, x 57, y 97
DEBUG: part no. 784, x 57, y 108
DEBUG: part no. 105, x 58, y 17
DEBUG: part no. 264, x 58, y 46
DEBUG: part no. 50, x 58, y 58
DEBUG: part no. 593, x 58, y 66
DEBUG: part no. 181, x 58, y 70
DEBUG: part no. 252, x 58, y 75
DEBUG: part no. 808, x 58, y 88
DEBUG: part no. 509, x 58, y 121
DEBUG: part no. 154, x 58, y 125
DEBUG: part no. 678, x 58, y 133
DEBUG: part no. 210, x 58, y 138
DEBUG: part no. 263, x 59, y 9
DEBUG: part no. 57, x 59, y 31
DEBUG: part no. 854, x 59, y 38
DEBUG: part no. 38, x 59, y 54
DEBUG: part no. 89, x 59, y 80
DEBUG: part no. 889, x 59, y 108
DEBUG: part no. 404, x 59, y 115
DEBUG: part no. 918, x 60, y 3
DEBUG: part no. 534, x 60, y 27
DEBUG: part no. 838, x 60, y 46
DEBUG: part no. 731, x 60, y 51
DEBUG: part no. 501, x 60, y 62
DEBUG: part no. 409, x 60, y 66
DEBUG: part no. 942, x 60, y 84
DEBUG: part no. 958, x 60, y 91
DEBUG: part no. 516, x 60, y 96
DEBUG: part no. 720, x 60, y 103
DEBUG: part no. 777, x 60, y 130
DEBUG: part no. 435, x 61, y 17
DEBUG: part no. 24, x 61, y 23
DEBUG: part no. 657, x 61, y 33
DEBUG: part no. 561, x 61, y 37
DEBUG: part no. 841, x 61, y 55
DEBUG: part no. 961, x 61, y 77
DEBUG: part no. 886, x 61, y 108
DEBUG: part no. 442, x 61, y 118
DEBUG: part no. 627, x 61, y 125
DEBUG: part no. 516, x 61, y 137
DEBUG: part no. 925, x 62, y 11
DEBUG: part no. 827, x 62, y 29
DEBUG: part no. 149, x 62, y 42
DEBUG: part no. 236, x 62, y 47
DEBUG: part no. 28, x 62, y 51
DEBUG: part no. 599, x 62, y 64
DEBUG: part no. 249, x 62, y 70
DEBUG: part no. 958, x 62, y 83
DEBUG: part no. 220, x 62, y 97
DEBUG: part no. 611, x 62, y 112
DEBUG: part no. 314, x 62, y 130
DEBUG: part no. 120, x 63, y 25
DEBUG: part no. 158, x 63, y 38
DEBUG: part no. 786, x 63, y 89
DEBUG: part no. 428, x 63, y 107
DEBUG: part no. 831, x 63, y 117
DEBUG: part no. 211, x 63, y 123
DEBUG: part no. 530, x 64, y 11
DEBUG: part no. 456, x 64, y 15
DEBUG: part no. 355, x 64, y 29
DEBUG: part no. 74, x 64, y 33
DEBUG: part no. 870, x 64, y 42
DEBUG: part no. 65, x 64, y 52
DEBUG: part no. 843, x 64, y 80
DEBUG: part no. 425, x 64, y 136
DEBUG: part no. 657, x 65, y 23
DEBUG: part no. 50, x 65, y 56
DEBUG: part no. 93, x 65, y 86
DEBUG: part no. 817, x 65, y 95
DEBUG: part no. 413, x 65, y 100
DEBUG: part no. 598, x 65, y 105
DEBUG: part no. 83, x 65, y 109
DEBUG: part no. 818, x 66, y 7
DEBUG: part no. 427, x 66, y 11
DEBUG: part no. 131, x 66, y 18
DEBUG: part no. 459, x 66, y 38
DEBUG: part no. 474, x 66, y 43
DEBUG: part no. 938, x 66, y 47
DEBUG: part no. 570, x 66, y 53
DEBUG: part no. 53, x 66, y 64
DEBUG: part no. 217, x 66, y 75
DEBUG: part no. 785, x 66, y 80
DEBUG: part no. 193, x 67, y 3
DEBUG: part no. 233, x 67, y 26
DEBUG: part no. 491, x 67, y 31
DEBUG: part no. 52, x 67, y 57
DEBUG: part no. 483, x 67, y 86
DEBUG: part no. 817, x 67, y 92
DEBUG: part no. 484, x 67, y 98
DEBUG: part no. 114, x 67, y 105
DEBUG: part no. 295, x 67, y 112
DEBUG: part no. 298, x 67, y 123
DEBUG: part no. 689, x 67, y 128
DEBUG: part no. 552, x 67, y 133
DEBUG: part no. 25, x 68, y 38
DEBUG: part no. 848, x 68, y 44
DEBUG: part no. 537, x 68, y 52
DEBUG: part no. 302, x 68, y 69
DEBUG: part no. 507, x 68, y 77
DEBUG: part no. 817, x 69, y 5
DEBUG: part no. 383, x 69, y 18
DEBUG: part no. 431, x 69, y 23
DEBUG: part no. 464, x 69, y 29
DEBUG: part no. 845, x 69, y 60
DEBUG: part no. 896, x 69, y 83
DEBUG: part no. 715, x 69, y 111
DEBUG: part no. 920, x 69, y 115
DEBUG: part no. 468, x 69, y 122
DEBUG: part no. 531, x 69, y 135
DEBUG: part no. 337, x 70, y 44
DEBUG: part no. 85, x 70, y 49
DEBUG: part no. 331, x 70, y 97
DEBUG: part no. 326, x 70, y 126
DEBUG: part no. 587, x 71, y 11
DEBUG: part no. 533, x 71, y 19
DEBUG: part no. 601, x 71, y 25
DEBUG: part no. 726, x 71, y 57
DEBUG: part no. 949, x 71, y 63
DEBUG: part no. 760, x 71, y 67
DEBUG: part no. 374, x 71, y 73
DEBUG: part no. 849, x 71, y 90
DEBUG: part no. 923, x 71, y 108
DEBUG: part no. 328, x 71, y 116
DEBUG: part no. 671, x 71, y 130
DEBUG: part no. 705, x 72, y 3
DEBUG: part no. 437, x 72, y 36
DEBUG: part no. 426, x 72, y 44
DEBUG: part no. 945, x 72, y 77
DEBUG: part no. 670, x 72, y 134
DEBUG: part no. 657, x 73, y 18
DEBUG: part no. 593, x 73, y 26
DEBUG: part no. 279, x 73, y 52
DEBUG: part no. 672, x 73, y 62
DEBUG: part no. 711, x 73, y 82
DEBUG: part no. 742, x 73, y 95
DEBUG: part no. 679, x 73, y 99
DEBUG: part no. 754, x 73, y 111
DEBUG: part no. 351, x 73, y 118
DEBUG: part no. 225, x 73, y 129
DEBUG: part no. 898, x 74, y 4
DEBUG: part no. 600, x 74, y 10
DEBUG: part no. 57, x 74, y 22
DEBUG: part no. 86, x 74, y 40
DEBUG: part no. 826, x 74, y 47
DEBUG: part no. 97, x 74, y 71
DEBUG: part no. 601, x 74, y 78
DEBUG: part no. 93, x 74, y 104
DEBUG: part no. 163, x 74, y 123
DEBUG: part no. 270, x 74, y 136
DEBUG: part no. 530, x 75, y 29
DEBUG: part no. 324, x 75, y 37
DEBUG: part no. 833, x 75, y 55
DEBUG: part no. 876, x 75, y 63
DEBUG: part no. 908, x 75, y 84
DEBUG: part no. 172, x 75, y 96
DEBUG: part no. 548, x 75, y 117
DEBUG: part no. 71, x 76, y 3
DEBUG: part no. 403, x 76, y 12
DEBUG: part no. 584, x 76, y 24
DEBUG: part no. 377, x 76, y 43
DEBUG: part no. 920, x 76, y 74
DEBUG: part no. 432, x 76, y 88
DEBUG: part no. 723, x 76, y 104
DEBUG: part no. 650, x 76, y 113
DEBUG: part no. 570, x 76, y 121
DEBUG: part no. 593, x 76, y 131
DEBUG: part no. 718, x 76, y 137
DEBUG: part no. 739, x 77, y 17
DEBUG: part no. 199, x 77, y 47
DEBUG: part no. 418, x 77, y 52
DEBUG: part no. 16, x 77, y 60
DEBUG: part no. 668, x 77, y 65
DEBUG: part no. 852, x 77, y 81
DEBUG: part no. 555, x 77, y 93
DEBUG: part no. 516, x 77, y 125
DEBUG: part no. 642, x 78, y 6
DEBUG: part no. 93, x 78, y 40
DEBUG: part no. 602, x 78, y 76
DEBUG: part no. 49, x 78, y 108
DEBUG: part no. 202, x 78, y 131
DEBUG: part no. 267, x 78, y 135
DEBUG: part no. 861, x 79, y 12
DEBUG: part no. 268, x 79, y 17
DEBUG: part no. 60, x 79, y 22
DEBUG: part no. 993, x 79, y 46
